id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
101,RTPV_TAS,RTPV_TAS,Solar,RoofPV,RoofPV,100,1,10,0,100,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-42.880556,147.325,1,0
102,RTPV_CSA,RTPV_CSA,Solar,RoofPV,RoofPV,100,1,11,0,100,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-34.80268,138.52164,1,0
103,RTPV_SESA,RTPV_SESA,Solar,RoofPV,RoofPV,100,1,12,0,100,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-37.6047,140.8373,1,0
104,LSPV_CQ,LSPV_CQ,Solar,LargePV,LargePV,869.9,1,2,0,869.9,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-22.8242,149.40361,1,0
105,LSPV_VIC,LSPV_VIC,Solar,LargePV,LargePV,1313.6799999999998,1,9,0,1313.6799999999998,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-37.766053,144.943397,1,0
106,LSPV_NNSW,LSPV_NNSW,Solar,LargePV,LargePV,721,1,5,0,721,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-30.504711,151.652465,1,0
107,LSPV_SQ,LSPV_SQ,Solar,LargePV,LargePV,2042.66,1,4,0,2042.66,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-27.476625,153.029934,1,0
108,LSPV_CSA,LSPV_CSA,Solar,LargePV,LargePV,648.04,1,11,0,648.04,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-34.80268,138.52164,1,0
109,LSPV_NQ,LSPV_NQ,Solar,LargePV,LargePV,599.97,1,1,0,599.97,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-17.79385,145.5635,1,0
110,LSPV_SNSW,LSPV_SNSW,Solar,LargePV,LargePV,2345.46,1,8,0,2345.46,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-35.11098,147.359907,1,0
111,LSPV_CNSW,LSPV_CNSW,Solar,LargePV,LargePV,2053.7799999999997,1,6,0,2053.7799999999997,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-33.4833,150.157717,1,0
112,LSPV_TAS,LSPV_TAS,Solar,LargePV,LargePV,0,1,10,0,0,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-42.880556,147.325,1,0
113,LSPV_SESA,LSPV_SESA,Solar,LargePV,LargePV,42.9,1,12,0,42.9,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-37.6047,140.8373,1,0
114,WIND_CQ,WIND_CQ,Wind,Wind,Wind,450,1,2,0,450,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-22.8242,149.40361,1,0
115,WIND_VIC,WIND_VIC,Wind,Wind,Wind,5362.159999999998,1,9,0,5362.159999999998,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-37.766053,144.943397,1,0
116,WIND_NNSW,WIND_NNSW,Wind,Wind,Wind,442.48,1,5,0,442.48,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-30.504711,151.652465,1,0
117,WIND_SQ,WIND_SQ,Wind,Wind,Wind,877.88,1,4,0,877.88,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-27.476625,153.029934,1,0
118,WIND_CSA,WIND_CSA,Wind,Wind,Wind,2435.99,1,11,0,2435.99,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-34.80268,138.52164,1,0
119,WIND_NQ,WIND_NQ,Wind,Wind,Wind,380.52,1,1,0,380.52,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-17.79385,145.5635,1,0
120,WIND_SNSW,WIND_SNSW,Wind,Wind,Wind,1873.85,1,8,0,1873.85,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-35.11098,147.359907,1,0
121,WIND_CNSW,WIND_CNSW,Wind,Wind,Wind,507.24,1,6,0,507.24,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-33.4833,150.157717,1,0
122,WIND_TAS,WIND_TAS,Wind,Wind,Wind,563.35,1,10,0,563.35,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-42.880556,147.325,1,0
123,WIND_SESA,WIND_SESA,Wind,Wind,Wind,324.5,1,12,0,324.5,9999.9,9999.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-37.6047,140.8373,1,0
